time,low,high,open,close,volume
2024-01-01T00:00:00Z,42175.65,44240.8,42288.58,44220.78,7977.72851143
2024-01-02T00:00:00Z,44195.13,45925.82,44220.78,44972.8,29583.38407747
2024-01-03T00:00:00Z,40625.68,45519.32,44972.81,42862.44,32281.85234351
2024-01-04T00:00:00Z,42650,44800,42860.58,44193.29,18193.81684353
2024-01-05T00:00:00Z,42450,44443.37,44198.35,44186.59,18073.09561495
2024-01-06T00:00:00Z,43436.5,44260.95,44187.76,43992.44,5691.43460343
2024-01-07T00:00:00Z,43629.7,44510.01,43992.79,43950.28,5931.34650683
2024-01-08T00:00:00Z,43200.44,47330,43954.52,46995.1,26447.17326625
2024-01-09T00:00:00Z,44701.54,47901,46995.09,46124.08,26305.56366042
2024-01-10T00:00:00Z,44320.01,47732.5,46120.79,46666.11,36534.39765866
2024-01-11T00:00:00Z,45555.55,49102.29,46678.54,46342.66,38150.89478822
2024-01-12T00:00:00Z,41444.97,46522.2,46344.96,42773.03,46862.43347199
2024-01-13T00:00:00Z,42427,43250,42775.1,42839.33,10998.76404264
2024-01-14T00:00:00Z,41680.73,43064.13,42839.32,41697.33,7834.26155365
2024-01-15T00:00:00Z,41680,43331.91,41698.13,42490.16,10869.45830576
2024-01-16T00:00:00Z,42028.02,43569.23,42481.69,43130.45,18180.4405406
2024-01-17T00:00:00Z,42160,43185.47,43130.35,42739.49,16381.8407159
2024-01-18T00:00:00Z,40600.05,42877.22,42737.68,41293.5,25097.42399202
2024-01-19T00:00:00Z,40236.49,42159.52,41290.57,41624.07,22745.55271173
2024-01-20T00:00:00Z,41418.55,41846.15,41623.94,41666.67,4836.63124969
2024-01-21T00:00:00Z,41472.49,41858.59,41666.67,41554.05,3138.26294449
2024-01-22T00:00:00Z,39372.44,41658,41553.92,39524.27,26539.34338688
2024-01-23T00:00:00Z,38501,40144.49,39524.27,39878.3,21966.56334645
2024-01-24T00:00:00Z,39382.15,40527.26,39878.28,40077.78,17438.97734668
2024-01-25T00:00:00Z,39503,40282.87,40079.87,39941.66,12978.7331205
2024-01-26T00:00:00Z,39805.95,42243.14,39941.66,41814.8,19359.37921096
2024-01-27T00:00:00Z,41383.94,42199.99,41814.96,42126.55,3774.45056434
2024-01-28T00:00:00Z,41617.53,42839.07,42126.55,42034.59,4298.44263812
2024-01-29T00:00:00Z,41787.35,43326.77,42034.57,43306.18,12529.09255982
2024-01-30T00:00:00Z,42680.2,43872.99,43303.3,42942.78,16384.61219735
2024-01-31T00:00:00Z,42265.77,43741.94,42937.72,42548.08,15320.62044085
2024-02-01T00:00:00Z,41846.04,43276.19,42545.47,43078.81,11526.63383073
