time,low,high,open,close,volume
2018-02-01T00:00:00Z,8400,10166.25,10099.99,9014.23,38171.97003425
2018-02-02T00:00:00Z,7540,9090.08,9014.22,8787.52,52039.26807721
2018-02-03T00:00:00Z,8115.48,9499,8787.52,9240,23700.98508963
2018-02-04T00:00:00Z,7859,9350,9227.8,8167.91,24062.18195663
2018-02-05T00:00:00Z,6425.75,8349.16,8167.9,6905.19,59578.69822102
2018-02-06T00:00:00Z,5873,7948.89,6905.2,7688.46,91895.11062729
2018-02-07T00:00:00Z,7212.82,8650,7688.47,7575.75,50916.57889564
2018-02-08T00:00:00Z,7550,8625,7575.76,8218.1,31649.57658512
2018-02-09T00:00:00Z,7750,8700,8218.07,8671.01,27558.51614051
2018-02-10T00:00:00Z,8155,9090,8671,8547.49,24910.69248868
2018-02-11T00:00:00Z,7851,8547.49,8547.48,8072.99,16804.11338411
2018-02-12T00:00:00Z,8072.99,8950,8073,8872.28,19718.28616707
2018-02-13T00:00:00Z,8393.1,8925,8872.27,8520.01,13952.55754805
2018-02-14T00:00:00Z,8520,9482.5,8520.01,9472.98,24374.64430846
2018-02-15T00:00:00Z,9342.46,10249.81,9472.98,10031.23,32372.79739747
2018-02-16T00:00:00Z,9729.58,10307.68,10031.23,10167.49,17843.54690778
2018-02-17T00:00:00Z,10057,11149,10167.49,11121.5,20781.56168216
2018-02-18T00:00:00Z,10159,11299.1,11121.5,10380.04,26975.93580105
2018-02-19T00:00:00Z,10297.39,11274.11,10380.03,11140,17634.43505308
2018-02-20T00:00:00Z,11000,11775,11140,11235.57,28425.12094891
2018-02-21T00:00:00Z,10250,11279.99,11235.57,10454.27,30042.03089218
2018-02-22T00:00:00Z,9715.27,10900,10453.83,9830,28095.90851163
2018-02-23T00:00:00Z,9576.43,10390.77,9830,10144.99,20779.94318193
2018-02-24T00:00:00Z,9372.72,10494.14,10144.99,9688.62,19729.38570667
2018-02-25T00:00:00Z,9324.75,9850,9688.61,9597.99,11707.16167099
2018-02-26T00:00:00Z,9404,10447.74,9600,10300,19118.9938219
2018-02-27T00:00:00Z,10133.33,10845.07,10300,10566.57,18240.52935154
2018-02-28T00:00:00Z,10263,11044,10556.3,10307.27,19688.06956326
2018-03-01T00:00:00Z,10213.99,11075,10307.26,10895.92,15390.55106388
2018-03-02T00:00:00Z,10765,11149,10895.93,11000,13838.03908182
2018-03-03T00:00:00Z,11000,11494.57,11000.01,11432.5,13198.55336472
2018-03-04T00:00:00Z,11041,11487,11432.51,11469.9,8635.84247054
2018-03-05T00:00:00Z,11339,11645.74,11469.9,11377.54,11051.44857722
2018-03-06T00:00:00Z,10565.85,11395.63,11371.5,10700,18565.88802786
2018-03-07T00:00:00Z,9400,10894,10700,9925,32486.56622749
2018-03-08T00:00:00Z,9050,10098,9925,9304.89,23426.7950493
2018-03-09T00:00:00Z,8370,9410,9304.9,9255,42041.35761821
2018-03-10T00:00:00Z,8720.08,9518.77,9255,8795.44,17254.85640436
2018-03-11T00:00:00Z,8516,9760,8795.45,9533.88,21816.15454135
2018-03-12T00:00:00Z,8780.49,9890,9533.88,9120,21281.59414403
2018-03-13T00:00:00Z,8855,9472.88,9120,9145.41,17207.40199682
2018-03-14T00:00:00Z,7931,9340,9145.42,8207.02,28010.58833814
2018-03-15T00:00:00Z,7666,8400,8207.02,8259.99,28014.23390561
2018-03-16T00:00:00Z,7911,8600,8260,8275,16967.92912777
2018-03-17T00:00:00Z,7751,8349.82,8274.09,7857.6,13639.73308518
2018-03-18T00:00:00Z,7310,8302.73,7857.59,8192,30536.54458381
2018-03-19T00:00:00Z,8108.31,8757.5,8192,8589,25598.67320803
2018-03-20T00:00:00Z,8316.15,9046.26,8589,8900,20469.34145312
2018-03-21T00:00:00Z,8745,9174,8900,8891.81,16007.11697609
2018-03-22T00:00:00Z,8467.27,9073.93,8891.81,8715.09,14990.23803367
2018-03-23T00:00:00Z,8280.04,8927.81,8715.09,8927.1,15266.82554983
2018-03-24T00:00:00Z,8508,8999,8927.8,8531.34,11863.31062337
2018-03-25T00:00:00Z,8359.45,8670,8531.96,8453,9048.85236081
2018-03-26T00:00:00Z,7854,8498,8453,8145,19389.85130451
2018-03-27T00:00:00Z,7757,8219.99,8144.99,7793.61,14987.73034205
2018-03-28T00:00:00Z,7727.76,8088,7793.61,7942.72,10966.69757001
2018-03-29T00:00:00Z,6905,7957,7942.73,7080,27812.00561903
2018-03-30T00:00:00Z,6600,7275.35,7080,6848.01,29312.749662
2018-03-31T00:00:00Z,6780,7200,6848.01,6928.5,14951.4968471
2018-04-01T00:00:00Z,6450,7044.46,6928.5,6816.01,15434.52280833
2018-04-02T00:00:00Z,6777.28,7100,6816.01,7045.01,14317.14565509
2018-04-03T00:00:00Z,7016.8,7520,7045.01,7424.9,18923.19243902
2018-04-04T00:00:00Z,6708.46,7424.91,7424.91,6791.68,15332.55315937
2018-04-05T00:00:00Z,6568.64,6933.11,6791.68,6785.85,14454.29416624
2018-04-06T00:00:00Z,6518.88,6847,6785.86,6619.01,10756.54967988
2018-04-07T00:00:00Z,6605.08,7064.64,6619.01,6894.01,10351.3736739
2018-04-08T00:00:00Z,6880,7099.99,6894.01,7020.01,6296.84940676
2018-04-09T00:00:00Z,6617,7169.53,7020.01,6771.13,13950.51963666
2018-04-10T00:00:00Z,6661.19,6893.29,6771.14,6824.99,7491.82299943
2018-04-11T00:00:00Z,6806.01,6974,6825,6942.99,8182.9960061
2018-04-12T00:00:00Z,6767.77,8050,6943,7916,31205.93316274
2018-04-13T00:00:00Z,7760,8220,7915.99,7893.19,22123.21006651
2018-04-14T00:00:00Z,7830,8150,7893.19,8003.11,9338.06089305
2018-04-15T00:00:00Z,8003.11,8392.56,8003.12,8355.25,9899.55458272
2018-04-16T00:00:00Z,7905.99,8398.98,8355.24,8048.93,13429.26623465
2018-04-17T00:00:00Z,7822,8162.5,8048.92,7892.1,10700.35753361
2018-04-18T00:00:00Z,7879.8,8243.99,7892.11,8152.05,10973.85923727
2018-04-19T00:00:00Z,8101.47,8300,8152.05,8274,11936.23618763
2018-04-20T00:00:00Z,8216.21,8932.57,8274,8866.27,16415.30759081
2018-04-21T00:00:00Z,8610.7,9038.87,8866.27,8915.42,12305.06569139
2018-04-22T00:00:00Z,8754.01,9015,8915.42,8795.01,7805.76709948
2018-04-23T00:00:00Z,8775.1,8991,8795,8931.3,8040.33557959
2018-04-24T00:00:00Z,8930,9728.56,8931.31,9645.1,20843.27006804
2018-04-25T00:00:00Z,8602.43,9763.49,9645,8865.98,31814.1288426
2018-04-26T00:00:00Z,8660,9318,8865.98,9272.11,15216.84970266
2018-04-27T00:00:00Z,8910,9369,9272.12,8922.55,12087.28643213
2018-04-28T00:00:00Z,8863.42,9447,8922.56,9329.99,8849.51366266
2018-04-29T00:00:00Z,9179.99,9512.5,9329.99,9389.01,7937.98812228
2018-04-30T00:00:00Z,9110.88,9447,9389.01,9243.83,8862.27320109
2018-05-01T00:00:00Z,8831.21,9245.37,9243.83,9072.29,11372.35045084
2018-05-02T00:00:00Z,8990,9251.05,9072.29,9190.48,8825.62461492
2018-05-03T00:00:00Z,9131,9800,9190.47,9725.74,14956.45443951
2018-05-04T00:00:00Z,9451.5,9745,9725.74,9685,10837.90259875
2018-05-05T00:00:00Z,9660.28,9948.12,9685,9800,9391.1010713
2018-05-06T00:00:00Z,9390,9880,9799.99,9600,7651.21500589
2018-05-07T00:00:00Z,9162.85,9619.55,9600,9353,9909.98246212
2018-05-08T00:00:00Z,9050,9463.13,9356.25,9177.82,9561.98001906
2018-05-09T00:00:00Z,8960,9370,9177.81,9300.08,8628.95083325
2018-05-10T00:00:00Z,9001.01,9386.32,9300.08,9010.51,7596.46134672
2018-05-11T00:00:00Z,8351,9010.51,9010.51,8403.33,17512.9269818
2018-05-12T00:00:00Z,8223.43,8658.57,8403.33,8475,11392.07649417
2018-05-13T00:00:00Z,8345,8774.32,8474.31,8686.1,6678.59431195
2018-05-14T00:00:00Z,8289.79,8880.01,8686.1,8670,14127.77867728
2018-05-15T00:00:00Z,8420.45,8847,8670,8477.46,10892.26808048
2018-05-16T00:00:00Z,8103.33,8500,8477.47,8344,10858.39386627
2018-05-17T00:00:00Z,8001,8483.48,8344.01,8059,8477.74299592
2018-05-18T00:00:00Z,7927.21,8280,8059,8238.51,8239.27592631
2018-05-19T00:00:00Z,8152.54,8390,8238.51,8235.6,4198.42045085
2018-05-20T00:00:00Z,8172,8600,8235.6,8516.86,4486.83071279
2018-05-21T00:00:00Z,8309.23,8584.39,8516.86,8393.44,5125.87838258
2018-05-22T00:00:00Z,7950,8400,8393.43,7987.7,6905.26600219
2018-05-23T00:00:00Z,7433.19,8030.06,7987.7,7505,15892.46676728
2018-05-24T00:00:00Z,7269,7734.99,7505.01,7584.15,11375.35825749
2018-05-25T00:00:00Z,7326.94,7661.85,7584.15,7459.11,8681.38004429
2018-05-26T00:00:00Z,7287.23,7640.46,7459.11,7337.95,4572.29163123
2018-05-27T00:00:00Z,7229.01,7392.7,7337.94,7346.64,4568.21590348
2018-05-28T00:00:00Z,7087,7444.8,7346.64,7107.94,7785.66681592
2018-05-29T00:00:00Z,7058,7524.99,7107.94,7460,10350.09174071
2018-05-30T00:00:00Z,7272.71,7557.78,7460,7380.01,6250.20477606
2018-05-31T00:00:00Z,7340,7609.99,7380,7485,6067.82801549
2018-06-01T00:00:00Z,7351.01,7599.99,7485,7514.32,6936.82298245
2018-06-02T00:00:00Z,7440,7697.09,7514.32,7636.42,5070.8649463
2018-06-03T00:00:00Z,7583.24,7777,7636.41,7706.37,5206.86345245
2018-06-04T00:00:00Z,7447.61,7747.57,7706.37,7487.37,6034.28233024
2018-06-05T00:00:00Z,7355,7677.5,7487.37,7612.51,5740.07226081
2018-06-06T00:00:00Z,7484,7691,7612.51,7655,5736.88730444
2018-06-07T00:00:00Z,7635,7747,7655,7684.93,5041.52279334
2018-06-08T00:00:00Z,7536.58,7690,7684.93,7618.8,3945.54283341
2018-06-09T00:00:00Z,7468,7680,7616,7496.4,2775.24696058
2018-06-10T00:00:00Z,6652,7496.41,7496.41,6770.31,18788.77680649
2018-06-11T00:00:00Z,6666.66,6913.83,6770.31,6881,11620.53954327
2018-06-12T00:00:00Z,6450,6885.84,6881,6545,10820.92303628
2018-06-13T00:00:00Z,6135,6618.95,6549.47,6302.31,17373.41486923
2018-06-14T00:00:00Z,6269,6750,6302.32,6638.49,14548.25525645
2018-06-15T00:00:00Z,6370,6660,6638.49,6391.22,7028.63892797
2018-06-16T00:00:00Z,6330,6549.99,6391.21,6484.29,4521.32956305
2018-06-17T00:00:00Z,6428.14,6570.01,6484.3,6447.16,3275.09792547
2018-06-18T00:00:00Z,6385,6807.64,6447.15,6709.02,8046.05593543
2018-06-19T00:00:00Z,6670.01,6829.06,6709.19,6736.41,6155.18187377
2018-06-20T00:00:00Z,6557.66,6817,6736.41,6759.18,6683.29357071
2018-06-21T00:00:00Z,6682.3,6787,6759.54,6719.01,4385.00279703
2018-06-22T00:00:00Z,5921.21,6725,6719.01,6059.82,18193.25099287
2018-06-23T00:00:00Z,6040.01,6250,6059.82,6178.29,6070.20787087
2018-06-24T00:00:00Z,5777,6255.8,6178.29,6149.99,13211.31953891
2018-06-25T00:00:00Z,6070.13,6340.01,6150,6246.01,9237.28844816
2018-06-26T00:00:00Z,6006.39,6271,6246.01,6074,6680.68174851
2018-06-27T00:00:00Z,5983.56,6175.43,6074.01,6132.17,7061.43624405
2018-06-28T00:00:00Z,5816.6,6161.47,6132.16,5851.66,7769.8116466
2018-06-29T00:00:00Z,5790.01,6300,5850.25,6202.36,11065.12248838
2018-06-30T00:00:00Z,6185,6520.15,6202.36,6383.19,6783.38450293
2018-07-01T00:00:00Z,6256.76,6424.14,6383.19,6349.5,4069.05699082
2018-07-02T00:00:00Z,6270.01,6669.99,6349.5,6611.79,8287.96529635
2018-07-03T00:00:00Z,6465,6673.99,6611.79,6502.62,6501.26577908
2018-07-04T00:00:00Z,6411.51,6796.62,6502.62,6587.47,6847.85549833
2018-07-05T00:00:00Z,6449.5,6700,6587.46,6532.95,6985.12310145
2018-07-06T00:00:00Z,6452.2,6639,6532.96,6600,5215.29306825
2018-07-07T00:00:00Z,6512,6843.26,6599.99,6753.28,4496.26591603
2018-07-08T00:00:00Z,6671,6778.31,6753.29,6701.97,3321.52529781
2018-07-09T00:00:00Z,6625,6815.82,6701.97,6664.01,5254.12964941
2018-07-10T00:00:00Z,6279,6679.47,6664.01,6303.7,8177.86682562
2018-07-11T00:00:00Z,6281.01,6400,6303.69,6390.04,5038.30347773
2018-07-12T00:00:00Z,6075.01,6390.04,6390.04,6249.75,9411.45794822
2018-07-13T00:00:00Z,6121.53,6335.09,6246.68,6216.29,5975.71038478
2018-07-14T00:00:00Z,6187,6323.68,6216.29,6248.65,3044.81810615
2018-07-15T00:00:00Z,6233.26,6385.35,6248.65,6348.73,3882.96945333
2018-07-16T00:00:00Z,6330.3,6750,6348.73,6728.81,9147.40601617
2018-07-17T00:00:00Z,6663.51,7472.5,6728.8,7315.01,15644.40972338
2018-07-18T00:00:00Z,7229.89,7584.85,7315,7378.99,15774.39905617
2018-07-19T00:00:00Z,7281.42,7581,7378.99,7470.01,9985.49794394
2018-07-20T00:00:00Z,7259.76,7687,7470.01,7334.46,10406.31899656
2018-07-21T00:00:00Z,7204.32,7444.77,7334.46,7408,5079.339249
2018-07-22T00:00:00Z,7327.75,7569.69,7408,7397.8,5599.21912506
2018-07-23T00:00:00Z,7378.26,7809,7400,7720.09,12449.92345846
2018-07-24T00:00:00Z,7695.99,8488,7720.08,8385.5,19636.00922903
2018-07-25T00:00:00Z,8042,8482.84,8390.04,8157.15,14713.91077749
2018-07-26T00:00:00Z,7840,8290,8157.15,7931.99,11869.52084895
2018-07-27T00:00:00Z,7787.29,8276.55,7932,8184.21,11991.35205827
2018-07-28T00:00:00Z,8065,8230,8182.64,8228.9,4141.05036475
2018-07-29T00:00:00Z,8127.87,8289.96,8227.38,8216.34,4239.76030429
2018-07-30T00:00:00Z,7850,8274.92,8216.33,8170.01,10568.96492471
2018-07-31T00:00:00Z,7629.48,8173.57,8170,7727.27,12604.37481313
2018-08-01T00:00:00Z,7437,7750,7727.28,7603.99,11853.49011195
2018-08-02T00:00:00Z,7462,7707.54,7603.99,7533.92,6917.39838355
2018-08-03T00:00:00Z,7285,7538.53,7533.92,7414.08,11084.8522024
2018-08-04T00:00:00Z,6940,7495,7414.08,7005,9933.75030971
2018-08-05T00:00:00Z,6880,7086.52,7005,7030.01,6243.59990905
2018-08-06T00:00:00Z,6840,7163,7030,6938,8956.04941689
2018-08-07T00:00:00Z,6647.07,7152,6938,6718.22,11165.1416331
2018-08-08T00:00:00Z,6121.04,6718.22,6718.22,6282.5,22145.35061404
2018-08-09T00:00:00Z,6177.51,6633.21,6282.5,6546.45,13980.70056404
2018-08-10T00:00:00Z,6015,6584.8,6546.46,6146.01,8064.70939768
2018-08-11T00:00:00Z,6003,6485.76,6146.01,6235.56,10153.23416272
2018-08-12T00:00:00Z,6169.46,6482,6236,6316.01,8324.09104131
2018-08-13T00:00:00Z,6139.57,6544.99,6316,6253.67,10604.12278957
2018-08-14T00:00:00Z,5900,6258.32,6253.67,6195.01,17742.68279169
2018-08-15T00:00:00Z,6189,6636,6195,6269.01,17786.54579416
2018-08-16T00:00:00Z,6200,6475.01,6269.01,6315.9,8976.04113374
2018-08-17T00:00:00Z,6290.39,6585.5,6315.9,6585.49,10776.85436559
2018-08-18T00:00:00Z,6312,6613.23,6585.5,6396.64,6974.44185927
2018-08-19T00:00:00Z,6328.45,6547.34,6396.63,6489.53,4472.17616704
2018-08-20T00:00:00Z,6227.71,6525,6489.53,6258.74,7905.42302586
2018-08-21T00:00:00Z,6249.12,6490,6258.74,6475.89,6860.90002944
2018-08-22T00:00:00Z,6250,6890.65,6475.89,6359.99,17611.22588439
2018-08-23T00:00:00Z,6348.69,6568.37,6359.99,6526.36,6998.97316777
2018-08-24T00:00:00Z,6451.55,6725,6526.36,6690.88,7427.5446068
2018-08-25T00:00:00Z,6668,6790,6690.88,6737.52,4930.16607076
2018-08-26T00:00:00Z,6572,6773,6737.52,6709.98,5009.10271396
2018-08-27T00:00:00Z,6654.13,6947.6,6709.98,6911.9,7307.58523518
2018-08-28T00:00:00Z,6864.96,7128,6911.9,7071.01,11880.45612553
2018-08-29T00:00:00Z,6907.42,7119,7071.01,7030.9,7712.75849986
2018-08-30T00:00:00Z,6790,7048.66,7030.92,6983,8327.34545381
2018-08-31T00:00:00Z,6884.49,7090.46,6983,7015.01,7857.29840392
2018-09-01T00:00:00Z,7010.98,7275,7015.01,7191.08,6276.18561687
2018-09-02T00:00:00Z,7130,7328.99,7191.07,7295,5891.96980364
2018-09-03T00:00:00Z,7192.99,7339.52,7294.99,7256.98,6133.07725249
2018-09-04T00:00:00Z,7229.94,7402.5,7256.48,7360,7999.76955668
2018-09-05T00:00:00Z,6664.07,7384,7359.99,6687.96,16381.47246369
2018-09-06T00:00:00Z,6272.73,6703.73,6687.96,6495,18836.77907471
2018-09-07T00:00:00Z,6325,6530,6495,6395.01,8369.22939503
2018-09-08T00:00:00Z,6116,6460,6395.01,6188,7581.68777214
2018-09-09T00:00:00Z,6147,6450,6188,6235.01,6356.67380803
2018-09-10T00:00:00Z,6221.49,6375.13,6235.02,6300,7028.65453232
2018-09-11T00:00:00Z,6176.76,6405,6300,6282.53,7512.79094263
2018-09-12T00:00:00Z,6191.1,6340.94,6282.53,6326,7428.99131549
2018-09-13T00:00:00Z,6323.64,6530,6326,6485.99,9800.75125525
2018-09-14T00:00:00Z,6378.05,6580,6485.99,6478.04,7691.81053625
2018-09-15T00:00:00Z,6470,6565,6478.05,6518.68,3404.11751484
2018-09-16T00:00:00Z,6323.68,6521.75,6518.68,6498,3520.8035532
2018-09-17T00:00:00Z,6207.55,6529.75,6498,6250.7,9335.4497769
2018-09-18T00:00:00Z,6228,6384.04,6250.71,6335.7,6137.36794174
2018-09-19T00:00:00Z,6106.37,6511,6335.69,6386.94,10754.09693733
2018-09-20T00:00:00Z,6337,6530,6386.95,6493.11,6819.60351487
2018-09-21T00:00:00Z,6492.5,6777.1,6493.11,6750,11391.70322303
2018-09-22T00:00:00Z,6628.01,6823,6750,6707.33,5315.7868296
2018-09-23T00:00:00Z,6660.05,6777,6707.34,6696.99,3506.51220124
2018-09-24T00:00:00Z,6555.99,6716.16,6696.99,6582.09,5562.20172954
2018-09-25T00:00:00Z,6320.5,6582.1,6582.09,6436.89,9533.99965627
2018-09-26T00:00:00Z,6380.62,6537.26,6435,6455.66,5910.04399306
2018-09-27T00:00:00Z,6430,6734.79,6455.65,6680.01,7878.87406105
2018-09-28T00:00:00Z,6528.13,6786.73,6680.01,6620.01,9039.12902254
2018-09-29T00:00:00Z,6452.02,6620.01,6620.01,6581,4371.91544933
2018-09-30T00:00:00Z,6523,6642.28,6581,6605,3698.72106704
2018-10-01T00:00:00Z,6474.9,6639.33,6605,6572.83,7146.81077109
2018-10-02T00:00:00Z,6452,6591.37,6572.83,6498.46,5444.03636431
2018-10-03T00:00:00Z,6398.96,6507.95,6498.47,6466.03,6264.41952033
2018-10-04T00:00:00Z,6454.38,6603.01,6466.03,6547.45,6676.80282302
2018-10-05T00:00:00Z,6510.58,6641,6547.45,6593.94,5347.26443214
2018-10-06T00:00:00Z,6536,6594.39,6593.94,6552.43,2725.25647489
2018-10-07T00:00:00Z,6491.81,6585.01,6552.42,6570,2625.49820988
2018-10-08T00:00:00Z,6545.63,6681.19,6569.99,6608.07,5447.87548657
2018-10-09T00:00:00Z,6552.5,6612.86,6607.53,6589.48,4580.90974272
2018-10-10T00:00:00Z,6445.48,6591.32,6589.48,6524.56,6387.67198644
2018-10-11T00:00:00Z,6033.34,6524.56,6524.56,6154.69,20730.76349424
2018-10-12T00:00:00Z,6111.97,6235.2,6154.68,6188.01,5574.64739116
2018-10-13T00:00:00Z,6178,6212,6188.01,6196,3842.85929097
2018-10-14T00:00:00Z,6151,6288.45,6196.01,6183.49,3763.1183462
2018-10-15T00:00:00Z,6151.58,6810,6183.52,6440.42,21436.33656382
2018-10-16T00:00:00Z,6375,6493.11,6440.43,6457.11,10080.9913573
2018-10-17T00:00:00Z,6411.19,6459.99,6457.1,6443.7,5507.26662058
2018-10-18T00:00:00Z,6355,6489.83,6443.69,6394.96,7212.21394135
2018-10-19T00:00:00Z,6353.86,6409.61,6394.96,6382.99,3816.48535963
2018-10-20T00:00:00Z,6369,6420,6382.99,6414,3425.84267768
2018-10-21T00:00:00Z,6405.57,6452.87,6413.99,6415.88,2611.79072657
2018-10-22T00:00:00Z,6377.77,6427.63,6415.87,6407.65,4004.82602681
2018-10-23T00:00:00Z,6360,6411.5,6407.64,6395.14,4036.62569307
2018-10-24T00:00:00Z,6395.13,6471,6395.13,6415.98,5193.91688879
2018-10-25T00:00:00Z,6377.5,6422,6415.97,6395.58,3747.24490173
2018-10-26T00:00:00Z,6383.54,6450,6395.58,6404.87,4134.91005811
2018-10-27T00:00:00Z,6390,6421.76,6404.87,6409.12,2332.79150241
2018-10-28T00:00:00Z,6380.01,6415,6409.11,6403.62,2142.01330512
2018-10-29T00:00:00Z,6211,6414.99,6403.63,6266,6986.99576529
2018-10-30T00:00:00Z,6240.54,6289,6266,6267.63,4101.07125232
2018-10-31T00:00:00Z,6201.67,6353.24,6267.63,6304.18,5229.24512215
2018-11-01T00:00:00Z,6293.44,6360,6304.18,6344,4490.97798078
2018-11-02T00:00:00Z,6333.94,6378.77,6344,6349.8,4182.90368781
2018-11-03T00:00:00Z,6315.91,6351.7,6349.8,6331.96,2572.93306167
2018-11-04T00:00:00Z,6313.17,6464.15,6331.96,6423.28,4055.76910661
2018-11-05T00:00:00Z,6372,6439.99,6423.29,6404,4088.66689308
2018-11-06T00:00:00Z,6387.82,6449.65,6404,6448.5,5512.34724778
2018-11-07T00:00:00Z,6448.5,6540,6448.5,6503.12,5832.93617972
2018-11-08T00:00:00Z,6388,6511.88,6503.12,6406.24,5335.81077269
2018-11-09T00:00:00Z,6305,6415,6406.24,6334.89,4588.21636599
2018-11-10T00:00:00Z,6327.46,6374,6334.89,6347.42,2421.62395944
2018-11-11T00:00:00Z,6271.15,6360,6347.42,6357.6,2363.52860474
2018-11-12T00:00:00Z,6305.95,6383.59,6357.6,6327.87,3731.22277403
2018-11-13T00:00:00Z,6252.5,6328.22,6327.87,6259.34,4686.91466432
2018-11-14T00:00:00Z,5280.93,6293.38,6259.35,5605.46,32734.2371058
2018-11-15T00:00:00Z,5188,5645,5605.01,5579.52,21893.75591627
2018-11-16T00:00:00Z,5410,5609.91,5579.5,5512.24,9359.82281671
2018-11-17T00:00:00Z,5450.83,5544,5512.26,5504.17,4784.39720845
2018-11-18T00:00:00Z,5503.34,5665,5503.34,5560,4724.53451302
2018-11-19T00:00:00Z,4670.05,5560,5560,4733.5,41591.922304
2018-11-20T00:00:00Z,4035,4889,4736.67,4349.23,66596.87804572
2018-11-21T00:00:00Z,4239.01,4627.55,4349.24,4545.11,28516.37041797
2018-11-22T00:00:00Z,4238.69,4589,4545.12,4265.36,13038.24058241
2018-11-23T00:00:00Z,4085.73,4366.05,4268.18,4283.8,19589.94093581
2018-11-24T00:00:00Z,3650.84,4370.78,4283.8,3774.99,22955.31007799
2018-11-25T00:00:00Z,3456.78,4120,3775,3936.69,39067.0408264
2018-11-26T00:00:00Z,3508,4076.25,3936.7,3731.32,36455.22367637
2018-11-27T00:00:00Z,3562.9,3830,3731.01,3775,23788.7518536
2018-11-28T00:00:00Z,3775,4365,3775.01,4225.03,35951.14939353
2018-11-29T00:00:00Z,4077.88,4414.89,4224.86,4248,20589.29919427
2018-11-30T00:00:00Z,3869,4297.71,4247.99,3976,20010.38688175
2018-12-01T00:00:00Z,3910.08,4277,3976.01,4142.01,10546.5152018
2018-12-02T00:00:00Z,4036,4266,4142.01,4103.19,11311.33063575
2018-12-03T00:00:00Z,3741.95,4119.98,4102.8,3833.47,17040.92435324
2018-12-04T00:00:00Z,3732.43,4035.1,3833.47,3901.84,16954.8572436
2018-12-05T00:00:00Z,3660,3912.53,3901.84,3694.39,14945.0424373
2018-12-06T00:00:00Z,3400,3849,3694.39,3433.26,28942.88212469
2018-12-07T00:00:00Z,3212,3550,3433.3,3380.01,37833.3063615
2018-12-08T00:00:00Z,3253.66,3495,3380,3401,13700.64053347
2018-12-09T00:00:00Z,3367.79,3642.51,3401,3531.18,11758.12530578
2018-12-10T00:00:00Z,3354.97,3590.71,3531.18,3410.15,13513.91205579
2018-12-11T00:00:00Z,3293.49,3424.92,3410.15,3349.36,11090.98128121
2018-12-12T00:00:00Z,3325.58,3486.16,3350.27,3430.24,10524.18793316
2018-12-13T00:00:00Z,3227.96,3439.63,3430.24,3265,14265.2612416
